# timestamp tx ty tz qx qy qz qw
1788506805.992062092 -36.468406760 -57.367257560 0.747597971 0.053568688 0.010420653 0.837035867 0.544419658
1788506806.092150927 -36.482257990 -57.328648384 0.734747562 0.054668384 0.010330074 0.836785315 0.544697158
1788506806.192222118 -36.512928081 -57.309709276 0.723041708 0.052714933 0.007433299 0.836691222 0.545081353
1788506806.292299986 -36.528415974 -57.289332237 0.719102552 0.054568799 0.008769265 0.837040278 0.544342649
1788506806.392347097 -36.553789700 -57.264211017 0.721769190 0.052546732 0.007065141 0.836982221 0.544655567
1788506806.492468119 -36.562178503 -57.244994481 0.709815514 0.053679582 0.007242377 0.837071107 0.544406110
1788506806.592504025 -36.585465345 -57.209110811 0.714443804 0.051489615 0.004733135 0.837249294 0.544371230
1788506806.692648888 -36.607239508 -57.191843279 0.710369497 0.052439321 0.006198398 0.837481616 0.543908301
1788506806.792671919 -36.625011804 -57.157810564 0.714417677 0.050692972 0.005960254 0.837351939 0.544276059
1788506806.892786980 -36.638219439 -57.120412945 0.719136586 0.050766516 0.006953603 0.836363896 0.545774534
1788506806.992907047 -36.647304672 -57.096210781 0.713214354 0.049404946 0.005253299 0.836723671 0.545366897
1788506807.092937946 -36.650722259 -57.066460157 0.716233422 0.050906623 0.006139626 0.836662248 0.545313767
1788506807.193039894 -36.667120368 -57.044863441 0.718437413 0.048408987 0.005199789 0.837031978 0.544983487
1788506807.293203115 -36.680625970 -57.016045450 0.730021080 0.050046650 0.006100971 0.836894907 0.545036719
1788506807.393270969 -36.689838866 -56.992875482 0.737738227 0.048318585 0.005490531 0.837202370 0.544726867
1788506807.493383884 -36.701995657 -56.966344646 0.734492547 0.050353755 0.004667086 0.837190321 0.544568714
1788506807.593458891 -36.726049834 -56.928587897 0.730267827 0.048295902 0.005144642 0.837832616 0.543762399
1788506807.693591118 -36.732794988 -56.898438540 0.727881115 0.049704392 0.004655154 0.837941821 0.543471533
1788506807.793706894 -36.750095816 -56.862784724 0.723632399 0.047847267 0.006475116 0.838747816 0.542375160
1788506807.893852949 -36.765197170 -56.816136631 0.720297150 0.047006017 0.006156192 0.837910745 0.543744535
1788506807.993947983 -36.782387037 -56.788632414 0.708257213 0.045549532 0.006045413 0.838629480 0.542760803
1788506808.094142914 -36.784773427 -56.786400761 0.707974632 0.049782373 0.005005522 0.838104183 0.543210861
1788506808.194243908 -36.817888968 -56.752975461 0.714897209 0.047190698 0.005147160 0.838347859 0.543064832
1788506808.294418097 -36.821151177 -56.735794688 0.709448909 0.048874573 0.005129168 0.837433488 0.544325382
1788506808.394531965 -36.844264233 -56.712305564 0.708327517 0.046636881 0.005171451 0.837639314 0.544204591
1788506808.494589090 -36.850627643 -56.686982241 0.708872059 0.049072175 0.004593184 0.838194344 0.543140006
1788506808.594696045 -36.876700239 -56.654391288 0.707362365 0.046065248 0.005136653 0.839822989 0.540877948
1788506808.694854021 -36.881166755 -56.623418558 0.718415312 0.048106651 0.005256347 0.840056517 0.540336162
1788506808.794895887 -36.898465714 -56.589649761 0.726500066 0.046414929 0.005935196 0.840941306 0.539099386
1788506808.894964933 -36.913497371 -56.562249704 0.714476024 0.048208745 0.005260395 0.842771881 0.536081899
1788506808.994956970 -36.921117942 -56.556327879 0.718422026 0.049387343 0.003568257 0.845723436 0.531319139
1788506809.095074892 -36.935755165 -56.530407883 0.715765335 0.049678021 0.003750556 0.847295566 0.528779965
1788506809.195230007 -36.946976406 -56.516651145 0.705219004 0.051775924 0.002953227 0.847361791 0.528477556
1788506809.295368910 -36.976766072 -56.460750637 0.699539341 0.046660249 0.006843458 0.848688696 0.526785996
1788506809.395534992 -36.981614023 -56.444422364 0.692611174 0.049749166 0.003486834 0.848681788 0.526547325
1788506809.495699883 -37.010028191 -56.408232267 0.698433565 0.046970853 0.006494298 0.849670573 0.525177571
1788506809.595875978 -36.992751084 -56.413713483 0.700582034 0.050902857 0.004030305 0.849693902 0.524797988
1788506809.695986986 -37.024632165 -56.367606813 0.703552543 0.046770421 0.004550598 0.850863152 0.523281679
1788506809.796180010 -37.025614536 -56.351267522 0.706481123 0.052185588 0.003079020 0.850915221 0.522695389
1788506809.896363974 -37.037268055 -56.318034408 0.703465862 0.047940209 0.004667992 0.851484188 0.522163407
1788506809.996604919 -37.044517167 -56.308025317 0.702295803 0.052650729 0.002838063 0.850562829 0.523223395
1788506810.096688986 -37.060788966 -56.277907965 0.698674115 0.049745426 0.002462106 0.850734289 0.523230829
1788506810.196845055 -37.079923942 -56.267147893 0.714224634 0.052553693 -0.001012509 0.850293709 0.523677087
1788506810.296957016 -37.087187716 -56.265437412 0.721335253 0.056074286 -0.002008968 0.850418088 0.523106790
1788506810.397084951 -37.095085348 -56.243240872 0.723945675 0.057656599 -0.002195364 0.852048772 0.520272801
1788506810.497232914 -37.116848632 -56.205525340 0.707206900 0.056758579 -0.001315628 0.851945973 0.520542786
1788506810.597446918 -37.134895501 -56.161351227 0.705659510 0.054988088 0.002448649 0.852643844 0.519585209
1788506810.697675943 -37.140117402 -56.133191369 0.701800542 0.052885125 0.003764334 0.852174221 0.520565165
1788506810.797811031 -37.168667690 -56.102147611 0.718199853 0.049373462 0.004807126 0.852548308 0.520288896
1788506810.897958994 -37.184114473 -56.073091716 0.710306481 0.050345992 0.002634281 0.852239574 0.520716862
1788506810.998132944 -37.205854928 -56.048173930 0.713868689 0.047165665 0.002953767 0.852718816 0.520228120
1788506811.098261118 -37.218825537 -56.026022768 0.714216608 0.049160382 0.001222036 0.852212109 0.520880298
1788506811.198363066 -37.238276279 -56.008111917 0.723520083 0.049352552 0.000574808 0.853159571 0.519309870
1788506811.298542976 -37.243563738 -55.988014823 0.718430990 0.050916796 0.001293665 0.853189232 0.519108795
1788506811.398722887 -37.261350130 -55.959473836 0.714463676 0.050280736 0.002626682 0.853710489 0.518308160
1788506811.498925924 -37.267962368 -55.922521678 0.714588976 0.052250461 0.001549026 0.853188473 0.518976800
